student_id;all_clicks;active_days;access_frequency;material_clicks;avg_quiz_score;quiz_attempts;avg_assignment_score;assignment_submissions;final_grade;risk_cluster;total_time_spent;procrastination_index;late_submission_count
28400;1435;80;17.9375;60;0;0;66.4;5;65;0;2870;0;2
28418;328;22;14.90909091;45;31.5;2;0;0;40;0;656;-2;2
28787;645;59;10.93220339;32;56;4;0;0;65;0;1290;-3.25;4
28952;105;12;8.75;5;67;1;52;1;30;0;210;-1.5;1
29144;1914;123;15.56097561;397;85;4;63.8;5;40;0;3828;-3.888888889;6
29411;1170;91;12.85714286;124;0;1;67.28571429;7;30;0;2340;-0.222222222;3
29411;1170;91;12.85714286;124;0;1;67.28571429;7;65;0;2340;-0.222222222;3
29420;816;49;16.65306122;65;85;4;66.66666667;3;65;0;1632;-2.571428571;6
29639;6986;245;28.51428571;107;79.25;4;87.25;8;65;0;13972;-0.25;4
29639;6986;245;28.51428571;107;79.25;4;87.25;8;65;0;13972;-0.25;4
29764;2867;89;32.21348315;107;86.25;4;91.25;4;85;0;5734;-1.625;5
29820;1027;71;14.46478873;164;71.75;4;85.625;8;65;0;2054;0;5
29820;1027;71;14.46478873;164;71.75;4;85.625;8;65;0;2054;0;5
30091;1332;64;20.8125;101;100;5;76;5;65;0;2664;-2;8
30096;714;54;13.22222222;86;98;4;88.5;4;85;0;1428;3.375;4
30268;281;12;23.41666667;8;0;0;0;0;30;0;562;0;0
30549;137;21;6.523809524;3;0;0;35;1;40;0;274;0;0
30850;2258;130;17.36923077;49;99;4;99.5;4;85;0;4516;1.75;4
31014;531;47;11.29787234;12;100;2;83.33333333;3;30;0;1062;2.6;2
31161;2932;185;15.84864865;186;97.25;4;95.75;4;85;0;5864;6.5;4
31173;858;57;15.05263158;46;0;0;54;6;40;0;1716;3;0
31269;614;30;20.46666667;63;0;0;56;2;30;0;1228;0;0
31269;614;30;20.46666667;63;0;0;56;2;30;0;1228;0;0
31600;429;19;22.57894737;5;0;0;54.8;5;65;0;858;-2.4;3
31604;2158;123;17.54471545;109;0;0;76;5;65;0;4316;2;0
31663;5906;222;26.6036036;286;96;5;65.33333333;6;65;0;11812;-2;6
31849;1179;80;14.7375;32;88;5;69.66666667;6;65;0;2358;-2;8
32327;699;30;23.3;22;0;0;31;2;30;0;1398;1;0
32885;1034;70;14.77142857;59;0;0;54.4;5;65;0;2068;-11.4;5
32930;438;13;33.69230769;23;0;0;45;5;65;0;876;-2.6;2
33387;248;22;11.27272727;18;0;0;59;3;30;0;496;0;0
33387;248;22;11.27272727;18;0;0;59;3;40;0;496;0;0
33666;1208;66;18.3030303;16;100;1;68;2;30;0;2416;-8.25;2
33681;434;24;18.08333333;55;0;0;76.14285714;7;30;0;868;32.28571429;1
33681;434;24;18.08333333;55;0;0;76.14285714;7;40;0;868;32.28571429;1
33897;322;5;64.4;19;0;0;54.5;4;30;0;644;32;0
33897;322;5;64.4;19;0;0;54.5;4;30;0;644;32;0
33930;544;72;7.555555556;29;0;0;84.2;5;65;0;1088;5.166666667;0
34068;613;55;11.14545455;11;67;2;86;1;30;0;1226;-4.333333333;3
34087;294;36;8.166666667;25;0;0;84.42857143;7;30;0;588;33.28571429;2
34087;294;36;8.166666667;25;0;0;84.42857143;7;40;0;588;33.28571429;2
34229;706;50;14.12;65;100;4;78.4;5;65;0;1412;-5.333333333;7
34353;391;32;12.21875;10;100;5;81.2;5;40;0;782;-2;5
34431;192;13;14.76923077;10;80;1;0;0;30;0;384;-6;1
34431;192;13;14.76923077;10;80;1;0;0;30;0;384;-6;1
34653;213;20;10.65;21;0;0;49;3;40;0;426;4.666666667;0
34662;218;26;8.384615385;22;0;0;34.5;2;30;0;436;4.5;0
34756;129;11;11.72727273;13;80;1;61;2;30;0;258;-2;2
34863;198;19;10.42105263;14;88;5;62.16666667;6;65;0;396;-2.545454545;7
35355;1116;64;17.4375;12;69.66666667;3;78;6;30;0;2232;0.666666667;3
35355;1116;64;17.4375;12;69.66666667;3;78;6;65;0;2232;0.666666667;3
35502;545;32;17.03125;78;0;0;66;1;30;0;1090;11;0
35508;1142;69;16.55072464;93;81.75;4;93.5;4;65;0;2284;-0.625;4
35508;1142;69;16.55072464;93;81.75;4;93.5;4;85;0;2284;-0.625;4
35812;19;3;6.333333333;3;0;0;71;1;40;0;38;0;0
37622;470;39;12.05128205;40;100;4;69.83333333;6;65;0;940;-1.9;6
37652;885;54;16.38888889;86;97.5;4;0;0;85;0;1770;-3.25;4
38053;2445;143;17.0979021;56;0;0;68;5;65;0;4890;-2;1
38234;94;9;10.44444444;5;86.66666667;3;71;4;40;0;188;-0.571428571;3
38711;169;14;12.07142857;11;0;0;38.75;4;30;0;338;-6.75;2
39208;2067;160;12.91875;79;0;0;77.4;5;65;0;4134;1.2;0
39208;2067;160;12.91875;79;0;0;77.4;5;30;0;4134;1.2;0
39411;164;15;10.93333333;2;0;0;70;1;40;0;328;0;0
39427;93;14;6.642857143;8;0;0;84;1;30;0;186;0;0
39655;432;34;12.70588235;29;84;5;82.33333333;6;85;0;864;-1.090909091;5
39660;336;34;9.882352941;19;0;0;64.5;4;40;0;672;3.25;1
40184;1876;149;12.59060403;113;0;0;92.66666667;6;85;0;3752;18.71428571;0
40333;174;15;11.6;31;0;0;0;0;30;0;348;0;0
40419;704;40;17.6;61;67;1;72.57142857;7;30;0;1408;2.444444444;1
40419;704;40;17.6;61;67;1;72.57142857;7;65;0;1408;2.444444444;1
40563;584;60;9.733333333;42;0;0;74.83333333;6;65;0;1168;3.857142857;0
40604;465;53;8.773584906;35;80;2;63;4;65;0;930;-2.166666667;3
41060;411;34;12.08823529;30;85;6;80.2;5;40;0;822;-0.909090909;6
41547;1007;61;16.50819672;31;0;0;61.6;5;65;0;2014;2.4;0
42638;5659;193;29.32124352;284;62.75;4;80;8;65;0;11318;0.25;4
42638;5659;193;29.32124352;284;62.75;4;80;8;65;0;11318;0.25;4
42746;2403;142;16.92253521;102;94.27272727;11;94.33333333;9;85;0;4806;36.7;4
42746;2403;142;16.92253521;102;94.27272727;11;94.33333333;9;85;0;4806;36.7;4
42818;200;20;10;9;0;0;39;1;40;0;400;0;0
43284;847;96;8.822916667;79;74.2;5;68;4;30;0;1694;-1.666666667;6
45462;1492;90;16.57777778;32;0;0;68;5;65;0;2984;-0.4;2
45642;1428;105;13.6;72;0;0;72.4;5;65;0;2856;-2.6;2
45664;1445;90;16.05555556;237;49.625;8;55.42857143;7;30;0;2890;-1;9
45664;1445;90;16.05555556;237;49.625;8;55.42857143;7;65;0;2890;-1;9
46605;3427;208;16.47596154;72;91.75;4;94.25;4;85;0;6854;0.125;4
46705;1149;73;15.73972603;145;87.75;4;78.33333333;3;40;0;2298;-4.285714286;6
46753;887;35;25.34285714;118;0;0;63;5;65;0;1774;-6.833333333;2
46844;340;46;7.391304348;32;0;0;64.8;5;65;0;680;0.2;0
47063;137;29;4.724137931;11;0;0;49.25;4;30;0;274;-2;2
47855;12;6;2;2;48;5;44.16666667;6;30;0;24;121.1818182;0
47891;118;14;8.428571429;12;0;0;65.66666667;3;40;0;236;0;1
48040;1829;158;11.57594937;357;96;5;61.66666667;6;65;0;3658;-1.545454545;6
48152;528;40;13.2;49;0;0;53.2;5;65;0;1056;3;2
48503;434;39;11.12820513;18;80;5;73.6;5;65;0;868;-0.5;5
48635;592;21;28.19047619;25;88.75;8;82.8;5;30;0;1184;59.53846154;1
48635;592;21;28.19047619;25;88.75;8;82.8;5;65;0;1184;59.53846154;1
49119;2154;109;19.76146789;133;79;4;86.33333333;6;85;0;4308;-1.4;7
49119;2154;109;19.76146789;133;79;4;86.33333333;6;30;0;4308;-1.4;7
50069;531;28;18.96428571;92;93.33333333;3;76.33333333;3;40;0;1062;-2;4
50263;425;31;13.70967742;33;73.875;8;80.33333333;6;30;0;850;62.5;2
50263;425;31;13.70967742;33;73.875;8;80.33333333;6;65;0;850;62.5;2
50476;237;10;23.7;19;0;0;87.8;5;85;0;474;7.666666667;0
50610;13;4;3.25;0;0;0;87.33333333;3;40;0;26;56.33333333;0
50993;176;23;7.652173913;11;65;4;31.2;5;40;0;352;-2.111111111;5
51030;183;9;20.33333333;18;0;0;81.8;5;65;0;366;2.5;0
51163;1167;79;14.7721519;129;0;0;68.66666667;6;65;0;2334;3.428571429;0
51301;670;48;13.95833333;39;0;0;93;1;30;0;1340;2;0
51576;799;35;22.82857143;44;87.88888889;9;86;7;30;0;1598;40.9375;3
51576;799;35;22.82857143;44;87.88888889;9;86;7;30;0;1598;40.9375;3
51576;799;35;22.82857143;44;87.88888889;9;86;7;85;0;1598;40.9375;3
52014;349;46;7.586956522;16;39;5;40;6;40;0;698;-1.083333333;7
52130;1894;122;15.52459016;147;0;0;71.4;5;65;0;3788;-1.4;1
52426;68;5;13.6;3;100;2;55;3;40;0;136;0;2
52765;4938;190;25.98947368;138;0;0;63;5;65;0;9876;-1.2;1
52797;1117;61;18.31147541;37;96;5;80.5;6;65;0;2234;-2.090909091;6
52899;2468;130;18.98461538;222;96;5;67.6;5;30;0;4936;-4;8
52899;2468;130;18.98461538;222;96;5;67.6;5;65;0;4936;-4;8
53025;3158;142;22.23943662;88;0;0;78;5;65;0;6316;4.6;0
53236;43;5;8.6;3;0;0;0;0;30;0;86;0;0
53300;1957;124;15.78225806;63;89.5;4;90;4;85;0;3914;14.625;4
53360;22;3;7.333333333;4;0;0;0;0;30;0;44;0;0
53488;1426;105;13.58095238;116;94.14285714;7;69.5;6;65;0;2852;-0.642857143;7
53632;326;14;23.28571429;95;0;0;86.55555556;9;30;0;652;42.44444444;1
53632;326;14;23.28571429;95;0;0;86.55555556;9;40;0;652;42.44444444;1
53895;65;5;13;12;0;0;0;0;30;0;130;0;0
54062;147;13;11.30769231;5;60.5;2;81.2;5;30;0;294;-0.714285714;2
54062;147;13;11.30769231;5;60.5;2;81.2;5;85;0;294;-0.714285714;2
54388;42;1;42;1;0;0;0;0;30;0;84;0;0
54391;179;8;22.375;14;44.5;2;0;0;30;0;358;-2;2
54810;96;10;9.6;5;0;0;74.25;8;30;0;192;14;3
54810;96;10;9.6;5;0;0;74.25;8;65;0;192;14;3
55026;283;39;7.256410256;45;85;4;62;5;65;0;566;-2.111111111;6
55104;1480;75;19.73333333;75;0;0;71;5;65;0;2960;0.2;2
55242;13;4;3.25;1;0;0;0;0;40;0;26;0;0
55968;578;47;12.29787234;19;80;3;54.66666667;3;40;0;1156;-1.5;4
56340;4;1;4;0;0;0;0;0;40;0;8;0;0
56789;379;33;11.48484848;48;84;5;70.16666667;6;65;0;758;-0.272727273;5
57079;776;66;11.75757576;97;84;5;64.8;5;40;0;1552;-1.1;5
57227;1425;133;10.71428571;55;0;0;81.4;5;65;0;2850;3.333333333;0
57285;283;9;31.44444444;15;0;0;54.2;5;65;0;566;0.6;0
57340;1090;54;20.18518519;64;70.75;4;0;0;65;0;2180;-2;4
57359;217;10;21.7;28;0;0;0;0;30;0;434;0;0
57506;1319;90;14.65555556;76;0;0;74;5;65;0;2638;0.8;0
57818;3037;150;20.24666667;214;0;0;93.5;6;65;0;6074;6.714285714;0
58071;3648;149;24.48322148;108;0;0;76;5;65;0;7296;-4.6;4
58089;102;6;17;14;100;1;75;1;40;0;204;-2.5;1
58316;1295;102;12.69607843;62;0;0;73.4;5;65;0;2590;-2.6;1
58617;286;15;19.06666667;37;0;0;40.66666667;6;40;0;572;-0.833333333;2
58653;383;40;9.575;66;0;0;55.2;5;65;0;766;-3;1
58873;1732;120;14.43333333;84;0;0;73.2;5;65;0;3464;-0.4;1
59185;1102;61;18.06557377;45;0;0;78.6;5;65;0;2204;0.4;0
59272;1425;76;18.75;39;0;0;66.25;4;65;0;2850;4;0
59275;522;28;18.64285714;24;0;0;52.5;4;40;0;1044;0;0
59370;2057;141;14.58865248;113;0;0;65;6;65;0;4114;3.285714286;0
59541;441;10;44.1;20;40;1;0;0;30;0;882;-2;1
59725;859;71;12.09859155;61;80;5;84.83333333;6;85;0;1718;1.363636364;5
60135;2750;115;23.91304348;254;52.71428571;7;71;4;65;0;5500;0.5;7
60416;4983;215;23.17674419;92;100;5;69.16666667;6;65;0;9966;-0.181818182;5
60809;2519;101;24.94059406;77;88;4;90.25;8;65;0;5038;-0.916666667;4
60809;2519;101;24.94059406;77;88;4;90.25;8;65;0;5038;-0.916666667;4
60830;1365;81;16.85185185;82;92;5;72.2;5;65;0;2730;0.8;5
61227;4642;128;36.265625;111;68.25;4;0;0;65;0;9284;-3.25;4
61236;506;57;8.877192982;37;56;1;0;0;30;0;1012;-3;1
61352;181;15;12.06666667;11;0;0;100;1;30;0;362;22;0
61911;136;11;12.36363636;7;0;0;83.33333333;3;40;0;272;-9.333333333;2
62155;3388;148;22.89189189;26;0;0;76;5;65;0;6776;2.6;0
62278;1037;79;13.12658228;97;56.66666667;3;67.66666667;3;40;0;2074;-1;3
62487;683;54;12.64814815;23;0;0;71.6;5;65;0;1366;-4.2;2
62631;525;33;15.90909091;18;93.33333333;3;70.75;4;40;0;1050;-4.142857143;5
63044;231;16;14.4375;49;70;2;60;3;40;0;462;-4.4;3
63165;912;87;10.48275862;30;0;0;51.4;5;65;0;1824;-6;3
63371;3344;145;23.06206897;191;80.25;4;85.75;4;65;0;6688;-1.375;4
63400;2737;175;15.64;135;0;0;71.6;5;65;0;5474;0;0
63467;712;29;24.55172414;74;0;0;62.6;5;65;0;1424;2;0
63566;1232;71;17.35211268;166;0;0;66;6;40;0;2464;4.428571429;1
63721;771;67;11.50746269;157;84;5;84;5;85;0;1542;-1;6
63856;965;102;9.460784314;75;0;0;56.33333333;6;65;0;1930;0.714285714;3
64275;199;22;9.045454545;11;85;4;68.5;6;65;0;398;-2.5;5
64296;633;24;26.375;34;60;1;95.33333333;3;40;0;1266;-0.5;1
64296;633;24;26.375;34;60;1;95.33333333;3;40;0;1266;-0.5;1
64450;1162;44;26.40909091;79;0;0;44.83333333;6;65;0;2324;-2.857142857;4
64767;78;12;6.5;1;0;0;70;4;30;0;156;-1.5;1
65002;176;13;13.53846154;3;0;0;67;4;30;0;352;20;0
65002;176;13;13.53846154;3;0;0;67;4;40;0;352;20;0
66047;52;8;6.5;2;0;0;43;1;30;0;104;9;0
66254;2149;80;26.8625;94;73;3;71.33333333;3;40;0;4298;-1;3
66577;143;17;8.411764706;11;0;0;83;3;40;0;286;56.33333333;0
66579;681;38;17.92105263;82;83.5;2;57.66666667;3;40;0;1362;-1;2
67471;1113;52;21.40384615;122;0;0;70.33333333;6;65;0;2226;6.142857143;0
67505;1246;72;17.30555556;82;0;0;64.25;4;40;0;2492;-1;2
67602;797;72;11.06944444;110;51.14285714;7;44.16666667;6;65;0;1594;-1.571428571;9
67685;10;5;2;1;0;0;81;4;30;0;20;3;0
67685;10;5;2;1;0;0;81;4;65;0;20;3;0
67781;369;21;17.57142857;32;0;0;73.83333333;6;85;0;738;3.571428571;1
67785;1351;74;18.25675676;186;73.5;6;77;5;65;0;2702;-0.333333333;6
68011;360;31;11.61290323;30;0;0;81;2;30;0;720;1;0
68376;1085;81;13.39506173;118;0;0;70;5;65;0;2170;5;0
68556;98;15;6.533333333;23;20;1;69.33333333;3;40;0;196;-7.75;2
69489;215;21;10.23809524;10;0;0;0;0;30;0;430;0;0
69489;215;21;10.23809524;10;0;0;0;0;30;0;430;0;0
69489;215;21;10.23809524;10;0;0;0;0;40;0;430;0;0
69491;373;49;7.612244898;56;73.28571429;7;60;6;65;0;746;-0.428571429;7
69494;2049;84;24.39285714;122;0;4;62;1;30;0;4098;-4.6;5
69494;2049;84;24.39285714;122;0;4;62;1;30;0;4098;-4.6;5
69703;695;71;9.788732394;71;73.25;4;73.5;4;65;0;1390;-1;4
70011;6396;227;28.17621145;190;0;0;80.2;5;65;0;12792;0.2;0
70214;369;18;20.5;32;33;1;48;4;30;0;738;-0.6;1
70214;369;18;20.5;32;33;1;48;4;65;0;738;-0.6;1
70381;755;68;11.10294118;42;72.5;4;74.5;4;65;0;1510;-1;4
70464;1053;46;22.89130435;37;0;0;55.6;5;65;0;2106;4.6;0
70495;1979;113;17.51327434;64;87.45454545;11;89.66666667;9;65;0;3958;38.05;4
70495;1979;113;17.51327434;64;87.45454545;11;89.66666667;9;85;0;3958;38.05;4
70569;947;56;16.91071429;36;0;0;55.8;5;65;0;1894;5.4;0
70608;270;27;10;20;92;5;77.66666667;6;85;0;540;-1.727272727;6
70750;103;8;12.875;11;0;0;0;0;30;0;206;0;0
70771;181;6;30.16666667;8;50;1;0;0;30;0;362;-2;1
71209;483;68;7.102941176;8;0;0;58.33333333;6;65;0;966;5.857142857;0
71361;2327;135;17.23703704;129;0;0;80.4;5;65;0;4654;0.4;0
71433;60;8;7.5;9;0;0;0;0;40;0;120;0;0
71504;1049;59;17.77966102;55;0;0;83.8;5;65;0;2098;4.2;0
71723;678;46;14.73913043;28;53.33333333;3;58.6;5;40;0;1356;-3.125;7
71723;678;46;14.73913043;28;53.33333333;3;58.6;5;40;0;1356;-3.125;7
72349;134;10;13.4;5;0;0;0;0;30;0;268;0;0
72400;420;36;11.66666667;102;96;5;75.5;6;85;0;840;-1.636363636;9
72609;6378;208;30.66346154;112;51.5;4;57.25;4;40;0;12756;-3.75;6
73489;1845;144;12.8125;74;88;5;69.16666667;6;65;0;3690;-0.818181818;6
73584;243;12;20.25;17;0;0;28;2;30;0;486;8;0
73664;38;12;3.166666667;5;0;0;25;2;30;0;76;-4.5;2
73664;38;12;3.166666667;5;0;0;25;2;40;0;76;-4.5;2
73874;931;34;27.38235294;97;0;0;84.33333333;3;30;0;1862;1.333333333;0
74290;271;25;10.84;34;10;2;0;0;30;0;542;8.5;1
74290;271;25;10.84;34;10;2;0;0;30;0;542;8.5;1
74372;116;14;8.285714286;3;0;0;48.5;4;40;0;232;-1.5;2
74502;3630;207;17.53623188;204;0;0;64.4;5;65;0;7260;10.33333333;0
74585;7811;171;45.67836257;183;92;5;86.16666667;6;85;0;15622;0.454545455;5
74695;3679;122;30.1557377;138;92;5;91.6;5;85;0;7358;-1;5
74734;208;34;6.117647059;15;95;4;75;6;65;0;416;-0.4;5
75091;2992;122;24.52459016;97;0;0;66;5;65;0;5984;0.6;1
75255;950;79;12.02531646;33;0;0;81.8;5;65;0;1900;-2.4;2
75309;1;1;1;0;0;0;0;0;30;0;2;0;0
75309;1;1;1;0;0;0;0;0;30;0;2;0;0
75399;489;49;9.979591837;51;84;5;61.8;5;65;0;978;-1.9;5
75454;4465;129;34.6124031;145;64.75;4;80;4;65;0;8930;-1.25;5
75728;1868;70;26.68571429;92;68.5;2;0;0;40;0;3736;-2;2
76081;759;39;19.46153846;106;0;0;70.44444444;9;30;0;1518;28.22222222;1
76081;759;39;19.46153846;106;0;0;70.44444444;9;65;0;1518;28.22222222;1
76536;18;7;2.571428571;1;65.33333333;3;69;1;40;0;36;45.5;0
76949;1482;94;15.76595745;130;86.75;4;74.75;4;65;0;2964;-3.375;5
77241;224;24;9.333333333;6;0;0;71;2;30;0;448;-9;1
77367;680;86;7.906976744;35;0;0;70.4;5;65;0;1360;-0.8;1
77763;1354;101;13.40594059;171;93.85714286;7;87.83333333;6;65;0;2708;-1.285714286;10
78170;2669;109;24.48623853;142;0;0;73.66666667;6;40;0;5338;4.142857143;0
78255;321;39;8.230769231;67;100;1;71.66666667;3;30;0;642;2.5;2
78255;321;39;8.230769231;67;100;1;71.66666667;3;40;0;642;2.5;2
78645;426;40;10.65;15;80;1;71;3;40;0;852;-3.5;2
79403;1782;76;23.44736842;30;0;0;60.66666667;3;30;0;3564;-4.333333333;2
79461;810;46;17.60869565;33;23.5;4;47.33333333;3;30;0;1620;-2;5
79461;810;46;17.60869565;33;23.5;4;47.33333333;3;40;0;1620;-2;5
80329;3972;145;27.39310345;159;82.25;4;74.2;10;30;0;7944;-3;7
80329;3972;145;27.39310345;159;82.25;4;74.2;10;65;0;7944;-3;7
80329;3972;145;27.39310345;159;82.25;4;74.2;10;30;0;7944;-3;7
80329;3972;145;27.39310345;159;82.25;4;74.2;10;65;0;7944;-3;7
80491;330;43;7.674418605;13;48;2;54.33333333;3;30;0;660;-2.6;3
80717;3699;197;18.77664975;249;100;5;87.16666667;6;85;0;7398;1;5
80868;28615;284;100.7570423;850;80.75;4;75.16666667;6;65;0;57230;1.454545455;4
80868;28615;284;100.7570423;850;80.75;4;75.16666667;6;65;0;57230;1.454545455;4
81351;817;96;8.510416667;108;70.85714286;7;73.33333333;6;40;0;1634;-1.928571429;8
82088;1100;84;13.0952381;175;0;0;80.33333333;3;40;0;2200;-1;1
82535;352;45;7.822222222;31;76;5;62.16666667;6;65;0;704;2.363636364;5
82575;658;43;15.30232558;108;93;4;92.75;4;85;0;1316;-1;4
82741;879;43;20.44186047;119;88;5;64;6;65;0;1758;-0.818181818;6
83219;1055;71;14.85915493;118;61.5;4;77.75;8;65;0;2110;-0.5;4
83219;1055;71;14.85915493;118;61.5;4;77.75;8;65;0;2110;-0.5;4
83254;954;70;13.62857143;155;84;5;63.83333333;6;65;0;1908;-3.909090909;9
83453;382;13;29.38461538;48;30;1;0;0;30;0;764;-2;1
84245;657;74;8.878378378;108;90;4;85.16666667;6;85;0;1314;10.6;4
84299;759;62;12.24193548;38;77.2;10;73;7;30;0;1518;5.941176471;4
84299;759;62;12.24193548;38;77.2;10;73;7;65;0;1518;5.941176471;4
84541;179;11;16.27272727;19;0;0;34;2;40;0;358;0;1
84576;642;37;17.35135135;40;0;0;58.5;6;85;0;1284;8.571428571;1
84605;806;52;15.5;50;0;0;86.71428571;7;30;0;1612;19.125;1
84605;806;52;15.5;50;0;0;86.71428571;7;65;0;1612;19.125;1
84664;495;35;14.14285714;23;100;5;78.4;5;65;0;990;-1.3;5
84812;474;48;9.875;26;92;5;87.83333333;6;65;0;948;-0.727272727;5
85092;665;32;20.78125;35;0;0;58;4;65;0;1330;-0.25;1
85144;656;75;8.746666667;30;0;0;77.6;5;65;0;1312;0.2;0
85302;2280;127;17.95275591;145;0;0;71.2;5;65;0;4560;-0.4;2
85304;23;1;23;2;0;0;0;0;30;0;46;0;0
85325;81;6;13.5;10;0;0;59;1;30;0;162;-3;1
86047;1065;51;20.88235294;89;51.16666667;6;51.71428571;7;30;0;2130;-2.142857143;10
86047;1065;51;20.88235294;89;51.16666667;6;51.71428571;7;65;0;2130;-2.142857143;10
86291;197;12;16.41666667;3;76;5;65;7;30;0;394;-2;7
86291;197;12;16.41666667;3;76;5;65;7;40;0;394;-2;7
87107;861;77;11.18181818;121;59;2;80.25;4;65;0;1722;1.142857143;2
87431;802;29;27.65517241;30;0;0;50;3;30;0;1604;-21;3
87732;1018;83;12.26506024;112;84;5;73.2;5;65;0;2036;-2.7;6
88340;187;23;8.130434783;58;90;2;62;2;30;0;374;-0.5;2
88490;195;15;13;29;0;0;91.5;6;85;0;390;14.85714286;0
88758;51;4;12.75;31;0;0;0;0;30;0;102;0;0
88758;51;4;12.75;31;0;0;0;0;30;0;102;0;0
88910;269;20;13.45;21;0;0;51.83333333;6;65;0;538;-2.142857143;3
89051;1163;112;10.38392857;113;83.71428571;7;80.5;6;65;0;2326;-0.428571429;7
89092;183;23;7.956521739;17;60;5;64.66666667;6;65;0;366;2.272727273;5
89188;1760;103;17.08737864;65;0;0;64;6;65;0;3520;5.714285714;0
89727;406;42;9.666666667;27;0;0;56.2;5;40;0;812;0.8;0
89778;141;12;11.75;19;100;5;85.83333333;6;85;0;282;-0.545454545;5
89850;1227;62;19.79032258;111;0;0;66.4;5;85;0;2454;1.4;0
89904;266;27;9.851851852;21;0;0;81.5;6;65;0;532;5.571428571;0
90243;1084;57;19.01754386;109;76;5;54.5;6;65;0;2168;-0.818181818;5
90361;183;19;9.631578947;11;85;4;71.16666667;6;65;0;366;-4.3;7
90537;216;14;15.42857143;40;0;0;65.66666667;6;65;0;432;1.285714286;0
90836;205;31;6.612903226;37;0;0;0;0;40;0;410;0;0
90979;168;31;5.419354839;3;0;0;51.75;4;40;0;336;-5;2
91040;446;32;13.9375;14;36.66666667;3;60;1;30;0;892;-2;3
91265;1494;125;11.952;48;0;0;70.8;5;65;0;2988;-5.2;5
91322;1616;64;25.25;60;95;4;73.66666667;6;65;0;3232;-0.7;5
91354;103;13;7.923076923;11;0;0;75;2;30;0;206;40;0
92274;447;26;17.19230769;52;90;2;50.66666667;3;30;0;894;-2.6;3
92274;447;26;17.19230769;52;90;2;50.66666667;3;30;0;894;-2.6;3
92312;39;6;6.5;2;0;0;0;0;40;0;78;0;0
92341;957;54;17.72222222;52;90;2;75;3;40;0;1914;0.6;2
92391;229;23;9.956521739;13;0;0;50.8;5;40;0;458;91.8;0
92775;10981;221;49.68778281;2284;39.83333333;6;36.8;5;40;0;21962;-1.181818182;6
92832;1067;100;10.67;40;88;5;64.2;5;65;0;2134;-1.6;5
92947;1350;129;10.46511628;61;80;4;82.5;6;85;0;2700;0.1;5
92993;974;49;19.87755102;23;88;5;65.4;5;65;0;1948;-0.2;5
94484;2275;78;29.16666667;52;87;4;0;0;65;0;4550;-2;4
94616;199;29;6.862068966;13;90;4;67.4;5;40;0;398;-5.111111111;8
94923;444;33;13.45454545;40;60;4;62;4;40;0;888;-1.125;4
94961;1240;93;13.33333333;70;0;0;65.33333333;6;30;0;2480;4;1
94961;1240;93;13.33333333;70;0;0;65.33333333;6;65;0;2480;4;1
94964;199;13;15.30769231;18;25.5;2;68;1;40;0;398;-1.666666667;3
94978;1234;46;26.82608696;53;72.5;2;64;1;30;0;2468;-1.666666667;2
